repository	link	type
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=40&REC=6	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=18&REC=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/partiturBC&CISOPTR=27&REC=2	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=113095	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/bcsalvany&CISOPTR=4119&CISOBOX=1&REC=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/bcsalvany&CISOPTR=1430&CISOBOX=1&REC=7	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=82733&CISOSHOW=82677	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/llibimps16,48693	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/llibimps16,30545	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/llibimps16,30558	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=14975&REC=9	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/llibimps16&CISOPTR=36759&REC=16	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca2&CISOPTR=75361&CISOSHOW=75137	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=69200&CISOSHOW=68825	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142402	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142312	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142919	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140437	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140417	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140530	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141118	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141152	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141220	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140468	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140499	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140546	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140562	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140674	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142736	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142067	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142680	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,144702	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,146006	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,146539	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,217732	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,218398	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,219456	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,221741	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,87658	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,216927	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,221304	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142104	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141054	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140370	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,140499	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142408	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142472	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142974	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142516	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142243	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,149349	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,149348	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143104	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,216927	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,216927	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,216928	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=8917	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=8688&REC=8	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=9831&REC=10	REG
